Employee ID,Name,Date of Birth,Hire Date,Age,Years at Company,Role,Department,Email,Phone,Address,Gender,Salary,Previous Company,Degree Earned,Skills,Promoted
1000,Bethany Sloan,1973-10-31,2013-08-11,50,10,Chief Financial Officer,Support,laura33@example.org,+1-489-327-2493x2609,"2228 Beth Falls Suite 218, Lake Anthonyburgh, PR 93702",Male,82259.29,Johnson Ltd,B.Sc.,"agreement, television, run",1
1001,Dana Arias,1965-01-17,1987-06-28,58,36,IT technical support officer,Marketing,greentonya@example.org,+1-514-519-3683x05733,"8323 Robin Crest, South Linda, WY 23019",Female,178998.84,Norris and Sons,B.A.,"against, government, likely, enjoy",1
1002,Anthony Andersen,1964-12-14,2015-09-03,59,8,"Production designer, theatre/television/film",Sales,alex01@example.com,(868)218-6881x496,"7118 Martin Roads Apt. 080, Lake Rebecca, NM 62701",Male,194292.47,Rice-Ortega,Ph.D.,"how, coach, yet, speech",1
1003,Linda Carlson,1994-05-24,2021-02-18,29,2,"Engineer, communications",Support,morgansusan@example.com,(503)828-0784,"192 Kathleen Plain, Karaton, MA 30934",Male,163709.52,Barron LLC,Ph.D.,"contain, father, ready, child, country, because",0
1004,Catherine Jones,1980-08-30,2008-08-20,43,15,Environmental health practitioner,Engineering,charles04@example.com,911.480.7295x57963,"499 Lydia Ports, West Kaylaburgh, IL 87397",Female,161132.06,"Wilson, Walker and Byrd",Ph.D.,"event, factor, politics, owner, individual",1
1005,Thomas Jones,1963-09-29,1987-01-13,60,36,Legal secretary,Finance,michaelevans@example.net,3195298007,"47176 Joseph Ferry, Ramosbury, FL 53029",Female,118135.5,Melton-Olsen,Ph.D.,"success, I, debate, style",0
1006,Sean Ortiz,1989-03-11,2017-02-18,34,6,Adult guidance worker,Marketing,patrick05@example.com,4339372807,"446 Trujillo Curve Apt. 496, Hendersonchester, MI 43762",Male,99087.11,Marquez and Sons,M.A.,"material, kid, spring, military",1
1007,Ian Hobbs,1968-03-14,2021-07-21,55,2,Ophthalmologist,Support,harriskrystal@example.net,001-336-368-7123x21727,"9037 Reyes Isle Suite 497, Crystalmouth, LA 14935",Female,129666.81,Taylor-Sweeney,M.A.,"hotel, important, main, eat, form, experience",1
1008,Christopher Anderson,1976-05-22,1997-07-08,47,26,Purchasing manager,Engineering,jacob30@example.net,318.692.7820x92998,"6125 April Meadows, Hodgeschester, VA 85088",Male,129470.35,Salazar-Woodward,B.Sc.,"ability, improve, effort",0
1009,Lisa Bowman,1970-05-28,2000-02-11,53,23,Hospital pharmacist,Product Management,mary14@example.net,562.995.6959x20556,"0232 Philip Point Apt. 350, Johnsonfurt, MA 36749",Male,163201.8,Fields and Sons,Ph.D.,"follow, gas, often, trial, whom",1
